outlet_id,observation_time_utc,temperature_celsius,created_at,wind_speed_10m,relative_humidity_2m
OUT001,2025-11-13 00:00:00,23.70,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 01:00:00,23.60,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 02:00:00,24.30,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 03:00:00,26.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 04:00:00,27.90,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 05:00:00,29.40,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 06:00:00,31.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 07:00:00,32.00,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 08:00:00,32.90,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 09:00:00,33.30,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 10:00:00,33.40,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 11:00:00,33.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 12:00:00,32.00,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 13:00:00,29.30,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 14:00:00,28.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 15:00:00,27.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 16:00:00,26.60,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 17:00:00,26.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 18:00:00,25.60,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 19:00:00,25.40,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 20:00:00,25.10,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 21:00:00,25.00,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 22:00:00,24.80,2025-11-13 15:56:00.235743,,
OUT001,2025-11-13 23:00:00,24.50,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 00:00:00,24.40,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 01:00:00,24.30,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 02:00:00,24.80,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 03:00:00,25.70,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 04:00:00,26.70,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 05:00:00,27.70,2025-11-13 15:56:00.235743,,
OUT001,2025-11-14 06:00:00,28.70,2025-11-13 15:56:00.235743,,
